ORL,UTAH,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,33,3-8,1-3,2-2,0,4,4,3,2,1,0,2,9,-4
W. Carter Jr.W. Carter Jr.C,34,9-17,1-5,3-6,2,7,9,2,0,1,4,1,22,-11
M. BambaM. BambaC,31,6-13,2-6,2-2,4,4,8,2,0,2,2,1,16,-6
C. AnthonyC. AnthonyPG,37,6-12,3-3,3-3,0,6,6,5,1,0,7,3,18,-18
J. SuggsJ. SuggsSG,25,4-11,0-3,1-2,0,1,1,7,3,0,1,3,9,-1
C. OkekeC. OkekePF,19,2-5,2-3,0-0,2,5,7,0,4,1,3,1,6,-16
A. SchofieldA. SchofieldSF,3,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0,0
I. BrazdeikisI. BrazdeikisSF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
T. RossT. RossSG,25,4-9,3-7,0-0,0,2,2,3,0,0,1,0,11,-3
G. HarrisG. HarrisSG,29,3-8,1-4,1-1,1,1,2,1,2,0,0,4,8,-16
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,34,5-6,4-5,0-0,0,0,0,5,4,0,1,2,14,+18
B. BogdanovicB. BogdanovicSF,32,2-12,1-8,2-3,0,7,7,3,1,0,4,0,7,+19
U. AzubuikeU. AzubuikeC,21,6-6,0-0,0-0,1,6,7,0,0,1,2,5,12,-2
M. ConleyM. ConleyPG,25,3-10,2-6,0-0,0,3,3,5,0,2,3,2,8,-5
D. MitchellD. MitchellSG,35,6-19,3-11,9-10,3,4,7,1,3,0,4,3,24,+21
E. PaschallE. PaschallPF,12,1-4,0-1,2-2,1,1,2,1,1,0,0,0,4,0
J. HernangomezJ. HernangomezF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
H. WhitesideH. WhitesideC,27,7-9,0-0,1-2,5,13,18,1,0,2,0,2,15,+17
J. ClarksonJ. ClarksonPG,24,6-13,1-6,5-5,0,4,4,2,2,0,0,0,18,+10
T. ForrestT. ForrestSG,24,3-8,1-2,2-2,1,0,1,3,3,0,1,0,9,+11
N. Alexander-WalkerN. Alexander-WalkerSG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
J. ButlerJ. ButlerSG,3,1-2,1-2,0-0,0,1,1,1,1,0,0,0,3,-8
