MEM,CHA,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,31,5-17,4-12,4-6,4,6,10,1,1,2,0,6,18,-4
S. AdamsS. AdamsC,16,6-8,0-0,3-7,8,3,11,4,0,3,0,6,15,+19
J. MorantJ. MorantPG,34,12-21,0-3,2-6,1,5,6,6,0,0,3,1,26,-1
D. BaneD. BaneSG,32,7-13,4-7,7-7,0,4,4,5,4,1,7,3,25,-6
Z. WilliamsZ. WilliamsSG,23,2-4,0-1,0-3,0,0,0,0,1,0,1,2,4,+13
B. ClarkeB. ClarkePF,32,8-12,0-0,0-0,1,5,6,2,1,1,2,3,16,-12
K. AndersonK. AndersonSF,17,1-2,0-1,0-0,0,7,7,6,0,0,2,3,2,+11
T. JonesT. JonesPG,19,1-5,0-2,0-0,0,2,2,5,0,0,0,0,2,+6
J. KoncharJ. KoncharSG,20,3-8,2-5,0-0,1,3,4,0,1,1,0,1,8,-4
D. MeltonD. MeltonSG,16,2-6,1-2,4-4,1,6,7,2,3,0,2,1,9,+13
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. BridgesM. BridgesSF,31,2-13,0-5,4-4,1,4,5,4,1,1,2,3,8,-17
M. PlumleeM. PlumleeC,30,2-2,0-0,0-1,4,8,12,6,1,0,3,6,4,+6
L. BallL. BallPG,33,8-21,5-12,4-4,1,3,4,2,1,0,4,5,25,-2
T. RozierT. RozierSG,41,11-27,6-17,7-9,4,6,10,9,0,1,2,3,35,-12
K. Oubre Jr.K. Oubre Jr.SG,20,4-9,0-2,0-0,3,1,4,1,1,0,1,4,8,-17
P.J. WashingtonP.J. WashingtonPF,23,1-4,1-4,1-2,1,1,2,0,1,3,2,1,4,-12
J. ThorJ. ThorPF,12,1-2,0-0,0-0,0,2,2,2,1,1,0,2,2,+17
M. HarrellM. HarrellC,29,7-8,0-0,6-9,2,7,9,2,0,0,0,3,20,+4
J. BouknightJ. BouknightSG,20,3-11,2-5,4-4,2,3,5,2,1,0,2,2,12,-2
