SA,NO,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,24,4-10,4-8,3-3,0,2,2,0,0,0,1,1,15,+13
K. JohnsonK. JohnsonSF,32,6-13,2-8,2-2,0,2,2,1,2,0,0,3,16,+5
J. PoeltlJ. PoeltlC,29,3-7,0-0,1-2,5,6,11,2,2,4,0,5,7,+14
D. MurrayD. MurrayPG,35,13-22,2-4,3-3,0,7,7,12,2,0,1,0,31,+11
D. VassellD. VassellSG,31,5-12,3-6,1-1,0,4,4,4,1,1,1,1,14,+13
D. CacokD. CacokPF,9,0-0,0-0,0-0,0,1,1,0,1,0,0,2,0,0
J. LandaleJ. LandaleC,19,4-10,1-4,1-2,0,2,2,1,0,0,0,1,10,-4
T. JonesT. JonesPG,16,2-4,0-1,1-2,1,3,4,3,0,0,0,0,5,0
L. Walker IVL. Walker IVSG,30,8-13,1-5,0-0,0,0,0,2,0,0,2,2,17,0
J. PrimoJ. PrimoSG,15,2-2,1-1,4-4,1,0,1,1,1,0,0,4,9,-2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,35,9-19,1-5,3-3,0,2,2,2,0,0,3,3,22,-6
H. JonesH. JonesSF,39,3-5,2-3,5-5,1,3,4,3,2,1,2,4,13,-2
J. ValanciunasJ. ValanciunasC,32,7-11,1-2,2-3,1,11,12,2,0,1,1,2,17,-14
D. GrahamD. GrahamPG,21,0-6,0-4,0-0,2,0,2,5,0,0,0,3,0,-12
C. McCollumC. McCollumSG,36,15-24,3-7,3-3,3,8,11,5,0,0,6,1,36,-9
G. ClarkG. ClarkF,8,2-3,2-3,0-0,0,2,2,0,0,1,0,0,6,0
G. TempleG. TempleSF,10,0-2,0-2,0-0,0,0,0,0,0,1,0,1,0,+9
N. MarshallN. MarshallSF,9,2-4,2-4,0-0,0,1,1,0,0,0,0,0,6,-8
W. HernangomezW. HernangomezC,12,1-4,0-0,2-4,2,4,6,2,0,0,0,2,4,0
J. HayesJ. HayesC,20,2-4,0-1,0-0,1,0,1,0,0,0,1,3,4,-6
J. AlvaradoJ. AlvaradoPG,18,2-5,0-1,2-2,0,5,5,3,0,0,2,0,6,-2
