CLE,PHI,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,25,4-7,2-5,0-0,0,4,4,2,0,0,0,5,10,+14
I. OkoroI. OkoroSF,32,1-1,0-0,3-4,1,1,2,1,0,0,1,3,5,-25
J. AllenJ. AllenC,33,5-9,0-0,3-3,2,3,5,1,0,1,1,3,13,-27
E. MobleyE. MobleyC,32,5-6,0-0,1-1,1,7,8,2,1,0,2,2,11,+1
D. GarlandD. GarlandPG,35,11-23,3-6,2-2,0,4,4,1,0,0,6,1,27,-9
K. LoveK. LovePF,17,1-5,0-4,0-0,0,2,2,2,0,1,0,0,2,-6
L. StevensL. StevensF,3,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,+8
C. OsmanC. OsmanSF,25,3-9,2-6,4-5,0,3,3,4,0,0,1,1,12,-1
E. DavisE. DavisC,3,0-0,0-0,0-0,0,1,1,2,0,1,0,0,0,+8
C. LeVertC. LeVertSG,32,5-16,1-3,0-0,1,2,3,6,2,0,3,1,11,-21
B. GoodwinB. GoodwinG,3,0-0,0-0,0-0,0,1,1,0,0,0,1,0,0,+8
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,33,5-10,1-2,0-1,0,5,5,1,0,1,3,4,11,+6
D. GreenD. GreenSF,28,2-4,2-4,0-0,0,1,1,1,0,2,0,0,6,+18
J. EmbiidJ. EmbiidC,33,11-22,4-5,14-15,1,13,14,10,3,0,4,4,40,+24
T. MaxeyT. MaxeyPG,33,6-12,1-3,3-5,0,2,2,2,1,0,1,0,16,+19
M. ThybulleM. ThybulleSG,32,3-5,0-1,0-0,0,2,2,3,6,1,0,4,6,+11
G. NiangG. NiangSF,28,1-5,1-4,0-0,1,3,4,2,0,0,0,5,3,-1
P. ReedP. ReedSF,15,3-8,0-0,0-0,5,2,7,0,3,0,0,3,6,-14
S. MiltonS. MiltonSG,20,3-5,0-1,0-0,0,3,3,5,0,0,3,1,6,-8
F. KorkmazF. KorkmazSG,17,4-8,1-2,0-0,1,1,2,0,0,1,0,0,9,+2
I. JoeI. JoeSG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-7
