BKN,MIA,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. GriffinB. GriffinPF,21,3-8,1-3,1-2,2,2,4,0,1,0,1,2,8,-27
B. BrownB. BrownSF,26,4-6,1-1,2-4,1,4,5,0,2,0,1,2,11,-23
K. EdwardsK. EdwardsSF,29,5-13,1-7,2-2,0,5,5,0,3,1,0,5,13,-1
P. MillsP. MillsPG,35,3-11,3-9,0-0,0,2,2,2,1,0,1,3,9,+1
K. IrvingK. IrvingPG,41,10-22,3-8,6-6,0,5,5,5,2,1,2,3,29,-5
J. JohnsonJ. JohnsonPF,15,4-7,1-3,0-1,0,2,2,1,0,0,1,1,9,-4
D. Duke Jr.D. Duke Jr.SF,6,0-0,0-0,0-0,1,0,1,0,1,0,0,2,0,+3
D. SharpeD. SharpeC,27,5-6,0-0,0-3,5,7,12,3,1,0,1,5,10,+24
J. CarterJ. CarterPG,7,0-2,0-2,0-0,0,1,1,1,0,0,0,0,0,+1
C. ThomasC. ThomasSG,32,8-18,2-7,4-4,0,4,4,4,1,0,1,4,22,+11
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,30,4-8,0-3,2-3,3,5,8,1,0,0,1,2,10,+11
J. ButlerJ. ButlerSF,34,4-11,0-1,5-6,3,3,6,3,0,0,3,2,13,+7
B. AdebayoB. AdebayoC,37,8-12,0-0,3-5,2,12,14,4,1,0,5,3,19,+22
K. LowryK. LowryPG,36,4-10,0-3,5-6,0,3,3,6,1,0,2,4,13,+7
D. RobinsonD. RobinsonSG,25,6-10,5-8,0-0,0,4,4,3,2,0,1,3,17,+15
D. DedmonD. DedmonC,11,3-6,1-2,1-2,2,1,3,0,1,0,1,3,8,-18
G. VincentG. VincentPG,24,5-7,1-2,0-0,0,3,3,1,1,1,0,1,11,-10
T. HerroT. HerroPG,23,4-11,0-3,7-7,0,7,7,1,0,0,2,1,15,-6
M. StrusM. StrusSG,20,3-7,3-7,0-0,0,4,4,1,0,0,0,2,9,-8
