OKC,CHI,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
I. RobyI. RobyPF,24,3-6,1-3,0-0,2,2,4,1,3,3,1,3,7,+1
D. BazleyD. BazleyPF,35,7-21,1-5,2-2,1,7,8,5,2,3,0,1,17,-5
L. DortL. DortSF,38,8-19,5-12,10-14,0,2,2,1,1,0,1,3,31,+5
T. MannT. MannPG,25,3-11,2-6,0-0,0,1,1,1,0,1,0,1,8,+5
J. GiddeyJ. GiddeySG,33,4-10,1-2,2-2,1,11,12,10,0,0,3,0,11,-3
L. Waters IIIL. Waters IIIF,4,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-2
K. WilliamsK. WilliamsSF,27,4-5,0-1,4-7,1,3,4,1,2,0,0,1,12,-6
A. PokusevskiA. PokusevskiC,15,2-5,1-2,2-2,2,2,4,0,0,3,2,1,7,0
T. JeromeT. JeromeSG,21,1-6,0-3,1-1,0,5,5,2,0,0,1,0,3,-2
A. WigginsA. WigginsSG,19,2-5,0-2,1-2,0,2,2,1,0,0,0,5,5,-18
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,40,12-24,0-1,14-16,1,5,6,5,1,0,2,2,38,-4
T. Brown Jr.T. Brown Jr.SF,28,0-9,0-5,0-0,3,8,11,0,0,0,0,0,0,0
N. VucevicN. VucevicC,36,14-25,0-4,3-3,5,10,15,0,2,2,6,2,31,+3
C. WhiteC. WhitePG,37,6-13,4-6,0-0,1,8,9,5,1,0,1,3,16,-2
A. DosunmuA. DosunmuSG,42,5-8,2-4,0-0,0,8,8,9,1,0,3,3,12,+1
M. HillM. HillF,16,2-4,1-3,1-2,0,3,3,0,0,0,0,1,6,+12
T. CookT. CookF,4,0-0,0-0,0-0,0,1,1,0,0,0,0,2,0,+2
D. Jones Jr.D. Jones Jr.SF,23,1-5,0-1,1-2,1,1,2,1,1,0,0,6,3,+13
T. BradleyT. BradleyC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
M. ThomasM. ThomasSG,14,0-1,0-1,0-0,0,2,2,0,0,1,1,0,0,+1
