MIN,IND,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,23,2-2,0-0,0-0,2,5,7,1,0,1,0,1,4,-8
A. EdwardsA. EdwardsSF,39,13-25,7-13,4-7,0,5,5,4,4,1,3,1,37,+13
K. TownsK. TownsC,22,5-12,1-1,4-4,5,8,13,3,0,0,6,5,15,-1
P. BeverleyP. BeverleyPG,30,4-8,3-6,2-2,0,4,4,2,1,2,3,5,13,0
D. RussellD. RussellPG,35,8-14,3-6,4-4,0,2,2,6,1,0,1,3,23,-2
J. McDanielsJ. McDanielsPF,30,4-6,0-1,3-3,0,2,2,0,1,1,0,4,11,+10
N. ReidN. ReidC,23,3-8,0-0,7-7,1,2,3,2,0,3,0,2,13,+12
J. McLaughlinJ. McLaughlinPG,17,1-3,1-2,0-0,0,0,0,3,1,0,0,1,3,+16
M. BeasleyM. BeasleySG,20,3-6,3-5,1-1,0,2,2,2,0,0,0,3,10,+5
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
O. BrissettO. BrissettSF,37,9-18,3-6,1-3,7,6,13,2,0,2,2,3,22,+4
G. BitadzeG. BitadzeC,19,3-4,0-0,1-2,1,2,3,3,0,2,2,2,7,+1
T. HaliburtonT. HaliburtonPG,41,7-14,6-12,2-2,0,5,5,16,1,0,3,2,22,-5
B. HieldB. HieldSG,40,6-19,1-13,0-0,2,6,8,1,1,1,2,3,13,+8
C. DuarteC. DuarteSG,4,1-2,0-1,0-0,1,0,1,0,0,0,2,0,2,+1
J. SmithJ. SmithF,23,6-10,1-4,4-5,5,7,12,0,0,1,0,4,17,-5
T. ThompsonT. ThompsonC,15,0-3,0-0,1-2,2,1,3,0,0,0,0,1,1,-11
D. Washington Jr.D. Washington Jr.PG,11,1-5,0-2,0-0,0,1,1,1,2,0,1,3,2,-19
T. TaylorT. TaylorSG,13,4-7,0-1,2-2,4,1,5,1,0,0,0,2,10,-11
L. StephensonL. StephensonG,32,7-16,1-3,6-6,0,3,3,4,1,0,1,1,21,+10
K. SykesK. SykesG,5,1-4,1-3,0-0,0,0,0,0,0,0,0,0,3,-18
