SAC,BKN,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,26,4-11,0-2,1-3,1,8,9,2,1,1,3,3,9,-10
H. BarnesH. BarnesSF,30,3-9,0-3,0-0,3,4,7,2,0,0,2,1,6,-20
M. HarklessM. HarklessSF,18,0-2,0-1,1-2,0,2,2,0,0,0,1,1,1,-20
J. HolidayJ. HolidaySF,32,3-12,1-6,0-0,2,0,2,2,0,1,0,2,7,-8
D. FoxD. FoxPG,33,9-18,2-5,6-7,1,1,2,3,0,0,2,3,26,-21
T. LylesT. LylesPF,3,0-0,0-0,0-0,0,1,1,0,0,0,1,1,0,-8
C. MetuC. MetuPF,19,1-5,1-4,4-4,3,1,4,1,0,0,2,1,7,-9
R. HolmesR. HolmesC,22,2-6,0-0,0-0,1,5,6,0,1,1,3,2,4,-14
D. MitchellD. MitchellPG,26,5-14,3-6,0-0,0,2,2,0,1,1,2,1,13,-11
D. DiVincenzoD. DiVincenzoSG,27,4-11,2-6,2-2,0,8,8,2,5,0,1,1,12,+9
J. JacksonJ. JacksonSG,3,0-2,0-2,0-0,0,0,0,0,0,0,1,1,0,-8
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. BrownB. BrownSF,38,8-12,1-1,2-2,0,6,6,6,5,3,0,1,19,+28
K. EdwardsK. EdwardsSF,25,1-5,1-3,0-0,0,5,5,0,0,0,2,1,3,+16
A. DrummondA. DrummondC,24,4-7,0-0,3-4,3,6,9,4,2,1,2,5,11,+23
P. MillsP. MillsPG,32,3-11,2-7,0-0,0,2,2,3,0,0,2,2,8,+7
S. CurryS. CurrySG,32,10-18,3-8,0-0,0,7,7,5,0,0,4,3,23,+14
B. GriffinB. GriffinPF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-9
J. JohnsonJ. JohnsonPF,20,2-4,0-1,0-0,1,3,4,2,0,0,1,5,4,0
D. Duke Jr.D. Duke Jr.SF,2,1-1,1-1,0-0,0,1,1,0,0,0,0,0,3,+7
L. AldridgeL. AldridgeC,19,8-11,0-0,3-3,2,6,8,0,0,1,5,3,19,+3
D. SharpeD. SharpeC,2,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+7
J. CarterJ. CarterPG,17,1-6,1-4,0-0,0,2,2,2,0,0,0,0,3,+7
C. ThomasC. ThomasSG,26,4-8,0-1,6-6,0,5,5,3,0,0,0,2,14,+17
