TOR,NO,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,33,7-19,0-2,4-5,3,2,5,1,0,0,2,0,18,-20
O. AnunobyO. AnunobySF,25,1-5,1-3,0-0,0,2,2,2,1,1,0,1,3,-23
S. BarnesS. BarnesSF,20,2-10,0-2,1-2,2,2,4,0,0,1,0,0,5,-25
F. VanVleetF. VanVleetSG,31,6-15,4-9,4-4,2,3,5,2,1,0,1,1,20,-22
G. Trent Jr.G. Trent Jr.SG,28,2-15,2-8,0-0,0,1,1,0,0,0,1,2,6,-25
T. YoungT. YoungPF,12,2-5,0-1,0-0,3,1,4,1,1,0,1,0,4,-6
C. BoucherC. BoucherPF,23,3-5,0-2,9-12,3,3,6,0,0,0,0,1,15,-3
P. AchiuwaP. AchiuwaPF,15,1-4,1-1,3-4,0,5,5,1,0,0,1,3,6,-11
Y. WatanabeY. WatanabeSF,5,0-1,0-0,3-4,1,1,2,0,0,1,0,1,3,0
J. ChampagnieJ. ChampagnieSF,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
K. BirchK. BirchC,17,3-4,0-0,0-0,4,2,6,0,2,0,0,4,6,-5
M. FlynnM. FlynnPG,9,0-4,0-3,0-0,0,0,0,1,1,0,0,0,0,-4
D. BantonD. BantonPG,12,2-6,0-1,0-0,1,0,1,0,1,0,0,0,4,-5
S. MykhailiukS. MykhailiukSG,5,0-2,0-2,0-0,0,2,2,0,0,0,0,1,0,0
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,29,4-7,0-2,2-3,0,11,11,8,1,2,2,3,10,+15
H. JonesH. JonesSF,27,5-8,1-2,0-0,0,1,1,5,0,0,1,3,11,+11
J. ValanciunasJ. ValanciunasC,29,6-9,0-1,6-6,1,8,9,4,0,2,3,3,18,+28
D. GrahamD. GrahamPG,25,1-5,1-5,0-0,0,3,3,4,0,0,1,0,3,+27
C. McCollumC. McCollumSG,32,9-13,5-8,0-0,0,4,4,5,2,0,0,2,23,+24
G. ClarkG. ClarkF,18,2-4,2-3,0-0,0,5,5,2,0,0,0,1,6,+14
G. TempleG. TempleSF,15,4-5,3-4,0-0,0,2,2,2,0,0,0,1,11,+8
T. SnellT. SnellSF,14,3-6,2-5,0-0,0,2,2,1,0,0,1,3,8,+11
N. MarshallN. MarshallSF,5,3-5,2-4,0-0,0,1,1,0,0,0,2,0,8,0
W. HernangomezW. HernangomezC,7,1-5,0-0,0-0,1,2,3,0,0,1,0,1,2,-2
J. HayesJ. HayesC,20,6-7,0-0,2-3,2,1,3,1,0,1,0,3,14,+3
J. AlvaradoJ. AlvaradoPG,16,1-3,0-1,4-4,0,2,2,4,1,1,3,2,6,+11
T. Murphy IIIT. Murphy IIISG,5,0-0,0-0,0-0,0,1,1,0,0,0,0,2,0,0
