ORL,DEN,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,32,8-16,3-7,7-8,3,5,8,4,2,0,2,1,26,-1
W. Carter Jr.W. Carter Jr.C,34,12-22,1-5,0-0,4,8,12,4,2,1,2,3,25,-7
M. BambaM. BambaC,11,1-4,0-2,0-0,0,3,3,0,0,0,1,3,2,-12
C. AnthonyC. AnthonyPG,26,3-9,1-5,2-2,0,3,3,1,0,0,2,3,9,-5
J. SuggsJ. SuggsSG,35,5-15,0-4,6-6,2,4,6,3,3,1,3,3,16,-5
C. OkekeC. OkekePF,32,3-10,3-8,0-0,0,5,5,4,4,1,0,1,9,-4
A. SchofieldA. SchofieldSF,6,1-2,1-2,2-2,0,0,0,0,1,0,0,1,5,+1
R. LopezR. LopezC,8,1-1,0-0,1-2,0,0,0,1,0,2,1,0,3,-4
T. RossT. RossSG,20,0-0,0-0,1-2,0,2,2,1,0,0,1,2,1,-15
G. HarrisG. HarrisSG,37,6-12,2-6,1-1,2,1,3,6,4,0,3,2,15,+2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,27,6-12,2-7,3-4,0,3,3,3,0,0,2,1,17,+9
A. GordonA. GordonPF,32,4-6,2-3,0-0,1,5,6,3,1,0,5,2,10,+10
W. BartonW. BartonSF,33,6-11,0-2,5-5,0,7,7,0,0,1,1,0,17,+8
N. JokicN. JokicC,35,10-26,3-9,3-3,5,10,15,7,1,0,5,2,26,+7
B. HylandB. HylandPG,29,4-7,3-6,3-4,1,4,5,2,2,0,3,2,14,+13
Ja. GreenJa. GreenPF,17,3-7,1-1,0-0,4,3,7,1,0,1,0,1,7,0
D. CousinsD. CousinsC,12,3-6,1-4,2-2,1,4,5,0,1,0,3,4,9,+3
F. CampazzoF. CampazzoPG,19,1-3,1-3,2-2,0,2,2,5,0,0,0,4,5,-3
A. RiversA. RiversSG,16,0-3,0-1,0-0,0,2,2,2,2,0,2,1,0,+2
B. ForbesB. ForbesSG,20,5-7,3-4,3-3,0,0,0,2,0,0,1,1,16,+1
