GS,LAC,2
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. KumingaJ. KumingaPF,28,4-8,0-2,2-2,0,2,2,1,1,1,3,3,10,-8
A. WigginsA. WigginsSF,28,5-10,2-4,1-2,1,1,2,1,0,1,1,1,13,-12
K. LooneyK. LooneyC,19,3-5,0-0,1-2,1,2,3,5,1,0,0,3,7,-9
S. CurryS. CurryPG,34,11-18,8-13,3-3,0,2,2,2,0,0,4,2,33,-19
K. ThompsonK. ThompsonSG,27,3-14,1-5,0-0,0,4,4,4,1,0,1,1,7,-23
N. BjelicaN. BjelicaPF,11,2-3,1-2,0-0,0,1,1,3,0,0,1,1,5,-3
O. Porter Jr.O. Porter Jr.SF,16,3-6,1-2,0-0,2,6,8,0,1,0,0,2,7,-7
J. Toscano-AndersonJ. Toscano-AndersonSF,7,0-0,0-0,0-0,0,3,3,2,0,0,1,0,0,+6
D. LeeD. LeeSG,21,2-7,1-5,0-0,1,4,5,2,1,0,0,1,5,+7
G. Payton IIG. Payton IISG,11,0-0,0-0,1-2,0,0,0,0,1,0,1,1,1,0
J. PooleJ. PooleSG,25,5-11,1-5,2-2,1,6,7,3,1,0,2,2,13,-7
M. MoodyM. MoodySG,13,1-4,1-3,0-0,1,0,1,0,0,1,0,1,3,0
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,29,5-9,4-7,0-0,1,7,8,1,2,0,0,1,14,+10
M. Morris Sr.M. Morris Sr.SF,27,5-13,1-5,0-0,0,2,2,1,0,0,0,2,11,+10
I. ZubacI. ZubacC,23,8-10,0-0,2-4,4,4,8,1,0,0,1,1,18,+13
R. JacksonR. JacksonPG,38,8-17,3-7,0-0,0,8,8,9,0,0,3,2,19,+27
T. MannT. MannSG,39,11-17,1-5,2-5,0,7,7,6,1,1,2,2,25,+25
R. CovingtonR. CovingtonPF,27,3-6,2-4,3-4,1,1,2,2,2,1,1,5,11,+4
S. OjeleyeS. OjeleyePF,4,0-2,0-1,0-0,0,0,0,0,0,0,2,0,0,-7
I. HartensteinI. HartensteinC,23,4-4,1-1,0-0,0,6,6,2,1,0,2,3,9,+10
R. HoodR. HoodSG,5,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,-1
A. CoffeyA. CoffeySG,23,1-3,1-2,1-2,0,2,2,2,0,0,1,2,4,-9
B. Boston Jr.B. Boston Jr.SG,4,3-3,2-2,0-0,0,0,0,0,0,1,0,0,8,-7
