BOS,PHI,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. WilliamsG. WilliamsPF,26,4-5,4-5,0-0,1,2,3,1,0,0,0,3,12,+24
J. TatumJ. TatumSF,30,9-17,4-8,6-6,2,10,12,6,0,2,0,3,28,+34
A. HorfordA. HorfordC,20,2-6,2-5,0-0,0,9,9,2,0,0,0,2,6,+28
M. SmartM. SmartPG,13,2-3,1-2,2-4,0,0,0,1,0,0,0,1,7,+19
J. BrownJ. BrownSG,29,10-17,5-7,4-6,1,7,8,3,0,0,2,0,29,+32
L. KornetL. KornetF,9,0-3,0-1,0-0,0,2,2,1,1,0,0,0,0,+6
S. HauserS. HauserSF,13,3-5,3-5,0-0,0,1,1,3,0,0,0,0,9,+5
A. NesmithA. NesmithSF,23,6-9,3-5,3-3,1,2,3,0,0,2,3,3,18,+24
D. TheisD. TheisC,20,2-2,1-1,0-0,0,9,9,2,0,4,0,5,5,+14
D. WhiteD. WhitePG,28,4-9,0-3,3-3,1,0,1,2,1,1,1,4,11,+41
P. PritchardP. PritchardPG,19,2-4,1-2,0-0,1,1,2,7,0,0,2,0,5,+8
B. ThomasB. ThomasG,12,2-2,1-1,0-0,0,1,1,0,0,1,1,4,5,+5
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,28,2-7,0-0,2-2,0,5,5,1,1,0,0,2,6,-40
D. GreenD. GreenSF,19,1-5,1-4,0-0,0,0,0,1,0,0,0,3,3,-21
J. EmbiidJ. EmbiidC,26,3-9,0-1,13-16,0,9,9,6,0,1,3,2,19,-34
T. MaxeyT. MaxeyPG,31,3-11,1-4,4-4,0,2,2,1,0,0,1,1,11,-34
M. ThybulleM. ThybulleSG,23,0-6,0-6,1-2,1,0,1,2,0,1,1,2,1,-29
P. MillsapP. MillsapPF,9,3-6,2-2,1-2,3,0,3,1,0,0,0,1,9,-8
G. NiangG. NiangSF,22,2-6,1-4,4-4,1,3,4,0,0,0,0,0,9,-19
P. ReedP. ReedSF,15,1-2,0-0,1-2,2,2,4,0,2,0,0,2,3,-2
C. BasseyC. BasseyC,7,2-4,0-0,1-1,2,0,2,0,1,0,0,1,5,-3
S. MiltonS. MiltonSG,27,2-10,0-2,4-4,3,1,4,4,1,0,0,2,8,-24
F. KorkmazF. KorkmazSG,18,2-7,2-6,0-0,0,4,4,0,0,0,2,1,6,-18
I. JoeI. JoeSG,9,1-4,1-3,0-0,0,1,1,0,1,0,2,0,3,-6
C. Brown Jr.C. Brown Jr.G,5,1-3,0-0,2-2,0,1,1,1,1,0,0,0,4,-2
