IND,MIL,2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. SmithJ. SmithF,17,4-9,3-5,0-0,1,6,7,3,0,0,1,6,11,-11
O. BrissettO. BrissettSF,27,2-8,1-5,1-3,1,1,2,1,0,1,1,2,6,-10
G. BitadzeG. BitadzeC,25,4-7,0-1,4-8,2,4,6,4,0,0,1,4,12,-6
T. HaliburtonT. HaliburtonPG,36,6-12,3-7,2-3,0,4,4,8,4,0,1,2,17,-11
B. HieldB. HieldSG,37,14-20,8-12,0-0,0,2,2,4,1,0,3,2,36,+1
T. ThompsonT. ThompsonC,15,4-7,0-0,1-4,3,2,5,1,0,1,2,1,9,+1
D. Washington Jr.D. Washington Jr.PG,4,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0,0
T. TaylorT. TaylorSG,32,5-7,0-1,0-0,2,7,9,2,1,0,0,2,10,+6
L. StephensonL. StephensonG,19,4-10,0-3,0-1,0,4,4,4,1,0,2,3,8,-1
K. SykesK. SykesG,28,4-12,2-6,0-0,1,0,1,5,1,0,1,1,10,-14
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,36,17-21,2-3,14-18,4,10,14,4,0,0,3,3,50,+7
K. MiddletonK. MiddletonSF,33,7-12,1-4,4-4,0,2,2,8,1,0,0,2,19,+12
B. PortisB. PortisC,28,3-14,0-5,0-0,2,12,14,2,3,0,3,0,6,+4
J. HolidayJ. HolidayPG,37,6-12,1-3,1-2,1,2,3,8,1,0,2,3,14,+15
G. AllenG. AllenSG,16,1-4,1-3,0-0,0,1,1,2,0,0,0,1,3,+1
S. MamukelashviliS. MamukelashviliPF,10,3-3,0-0,0-0,1,1,2,0,0,0,0,1,6,+1
T. AntetokounmpoT. AntetokounmpoSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
J. NworaJ. NworaSF,26,4-9,1-4,0-0,0,4,4,2,1,0,2,2,9,+7
S. IbakaS. IbakaC,24,3-3,1-1,2-3,1,4,5,1,0,0,1,4,9,-2
L. WiggintonL. WiggintonG,28,4-8,3-6,1-3,0,2,2,1,1,0,2,1,12,+1
