ATL,ORL,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GallinariD. GallinariPF,26,3-7,2-4,3-4,0,4,4,1,1,0,1,1,11,+15
D. HunterD. HunterSF,27,5-11,1-2,3-3,2,1,3,0,0,1,1,3,14,+23
C. CapelaC. CapelaC,23,3-5,0-0,2-4,3,6,9,1,0,2,0,2,8,+14
T. YoungT. YoungPG,25,5-13,4-5,8-8,0,3,3,6,1,0,1,2,22,+13
K. HuerterK. HuerterSG,25,6-10,3-6,0-0,0,3,3,2,1,0,1,2,15,+22
O. OkongwuO. OkongwuPF,20,6-7,0-0,0-1,3,3,6,1,0,2,1,4,12,+12
K. Knox IIK. Knox IIF,11,0-5,0-1,3-4,3,2,5,1,0,0,0,3,3,-7
J. JohnsonJ. JohnsonSF,6,0-1,0-1,0-0,0,1,1,0,0,1,0,0,0,-7
G. DiengG. DiengC,5,1-2,1-2,0-0,1,2,3,0,0,0,1,0,3,-5
L. WilliamsL. WilliamsSG,18,3-9,1-3,2-2,1,1,2,4,0,0,2,1,9,+13
B. BogdanovicB. BogdanovicSG,26,9-13,4-6,1-2,0,1,1,6,2,0,1,1,23,+18
D. WrightD. WrightSG,19,4-5,2-3,0-0,0,6,6,1,1,0,0,0,10,+4
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,5,0-2,0-0,0-0,0,1,1,0,1,0,0,0,0,-5
S. MaysS. MaysSG,5,0-0,0-0,0-0,0,0,0,0,0,0,2,1,0,-5
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,29,5-9,1-3,1-1,0,3,3,2,0,1,1,3,12,-18
W. Carter Jr.W. Carter Jr.C,27,4-7,2-3,0-0,2,8,10,6,0,1,2,2,10,-18
M. BambaM. BambaC,27,5-10,1-4,0-0,3,6,9,1,0,1,1,2,11,0
C. AnthonyC. AnthonyPG,25,9-16,2-5,3-3,0,7,7,5,0,1,3,4,23,-20
J. SuggsJ. SuggsSG,35,6-19,0-4,7-8,1,3,4,4,1,0,1,2,19,-16
C. OkekeC. OkekePF,29,3-10,1-7,0-0,2,2,4,2,2,1,1,1,7,-8
A. SchofieldA. SchofieldSF,19,3-7,2-4,0-0,3,2,5,1,0,0,2,3,8,-9
I. BrazdeikisI. BrazdeikisSF,12,2-5,1-1,1-1,1,1,2,1,0,0,0,0,6,+1
T. RossT. RossSG,17,2-7,0-2,0-0,0,1,1,1,0,0,0,1,4,-8
G. HarrisG. HarrisSG,19,3-8,3-8,0-0,0,0,0,0,0,0,2,1,9,-9
