WSH,IND,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,38,9-27,6-12,2-2,3,12,15,6,1,0,3,1,26,+5
C. KispertC. KispertSF,30,4-10,1-6,0-0,3,1,4,1,0,1,5,4,9,-3
T. BryantT. BryantC,24,2-3,0-1,0-0,2,5,7,1,0,1,0,1,4,-5
R. NetoR. NetoPG,33,3-5,2-2,2-2,0,2,2,8,2,0,0,1,10,-5
K. Caldwell-PopeK. Caldwell-PopeSG,34,9-18,5-8,4-4,1,2,3,1,3,0,1,3,27,0
A. GillA. GillPF,16,1-5,0-1,3-4,1,1,2,0,1,0,1,3,5,-8
I. ToddI. ToddPF,6,0-2,0-1,0-2,0,1,1,2,0,0,0,0,0,-14
D. AvdijaD. AvdijaSF,32,5-11,2-5,2-2,1,6,7,2,0,1,1,3,14,+4
I. SmithI. SmithPG,21,5-9,0-0,0-0,1,2,3,4,0,0,1,4,10,-6
C. WinstonC. WinstonPG,6,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+7
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. SmithJ. SmithF,23,4-6,0-1,0-0,0,3,3,1,2,1,1,1,8,+3
O. BrissettO. BrissettSF,29,6-13,1-5,4-8,3,3,6,2,2,1,1,0,17,0
T. HaliburtonT. HaliburtonPG,39,6-17,1-6,8-10,0,5,5,14,1,0,4,1,21,+8
B. HieldB. HieldSG,39,5-12,1-5,4-4,0,5,5,7,0,1,1,1,15,+12
T. TaylorT. TaylorSG,36,9-11,0-0,0-1,3,6,9,0,0,1,1,3,18,-9
T. ThompsonT. ThompsonC,21,8-9,0-0,1-2,1,5,6,0,0,1,1,4,17,+7
D. Washington Jr.D. Washington Jr.PG,18,2-6,1-3,1-3,0,0,0,2,1,0,1,2,6,-1
L. StephensonL. StephensonG,34,5-9,0-0,1-1,0,6,6,4,3,1,1,2,11,+5
