SAC,CHI,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,37,10-15,0-0,2-2,5,7,12,8,2,0,3,2,22,-5
H. BarnesH. BarnesSF,34,4-7,2-3,7-8,0,4,4,1,1,0,2,1,17,-9
M. HarklessM. HarklessSF,30,2-5,0-2,0-0,0,2,2,0,3,0,0,3,4,+7
J. HolidayJ. HolidaySF,37,6-12,6-11,0-0,0,2,2,1,0,2,1,4,18,+4
D. FoxD. FoxPG,41,14-26,2-5,3-4,0,6,6,9,2,0,5,3,33,-8
T. LylesT. LylesPF,5,2-2,0-0,0-0,0,2,2,0,0,0,1,0,4,+2
C. MetuC. MetuPF,16,3-6,1-4,4-4,0,3,3,0,0,1,0,1,11,-10
R. HolmesR. HolmesC,10,0-3,0-0,0-0,1,1,2,0,0,0,0,0,0,-2
D. DiVincenzoD. DiVincenzoSG,29,2-8,1-5,4-4,1,2,3,5,1,0,1,0,9,-14
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,41,16-27,1-1,5-5,1,5,6,6,1,0,4,3,38,+9
J. GreenJ. GreenSF,29,6-7,3-4,0-0,1,5,6,0,0,1,0,2,15,-2
N. VucevicN. VucevicC,38,8-18,1-6,4-4,3,7,10,3,2,0,1,2,21,+7
C. WhiteC. WhitePG,40,11-19,6-11,3-4,1,4,5,6,1,0,1,2,31,+6
A. DosunmuA. DosunmuSG,40,4-11,0-2,4-4,0,6,6,6,2,1,4,2,12,+4
D. Jones Jr.D. Jones Jr.SF,16,2-4,1-1,0-0,3,1,4,1,0,0,0,3,5,+12
T. Brown Jr.T. Brown Jr.SF,17,0-5,0-2,0-0,2,3,5,2,1,0,0,1,0,-9
T. BradleyT. BradleyC,8,0-0,0-0,0-0,2,2,4,0,0,0,0,0,0,+2
M. ThomasM. ThomasSG,11,0-3,0-2,3-3,0,1,1,1,1,0,1,1,3,+6
