UTAH,LAL,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,32,4-6,2-4,0-0,0,7,7,1,3,1,4,2,10,-5
B. BogdanovicB. BogdanovicSF,33,5-14,3-8,2-2,1,1,2,0,0,0,2,1,15,-2
R. GobertR. GobertC,28,2-3,0-0,1-2,1,10,11,0,0,3,2,3,5,-27
M. ConleyM. ConleyPG,28,2-9,0-3,2-2,1,3,4,5,0,0,1,5,6,-25
D. MitchellD. MitchellSG,37,13-24,5-11,6-7,1,2,3,5,4,0,2,1,37,0
E. PaschallE. PaschallPF,12,1-1,0-0,0-0,0,1,1,1,1,0,0,3,2,-6
D. House Jr.D. House Jr.SF,15,0-2,0-1,0-0,0,2,2,0,0,1,0,1,0,-1
H. WhitesideH. WhitesideC,20,2-3,0-0,3-4,2,6,8,0,1,1,0,3,7,+20
J. ClarksonJ. ClarksonPG,22,6-14,1-6,0-0,1,0,1,2,0,0,1,3,13,+4
T. ForrestT. ForrestSG,12,2-3,0-0,2-2,1,1,2,3,1,0,0,0,6,+17
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,17,7-9,1-1,2-2,1,1,2,2,1,2,0,1,17,-3
S. JohnsonS. JohnsonPF,19,2-6,0-1,0-0,0,2,2,4,0,0,0,1,4,0
L. JamesL. JamesSF,40,14-23,3-8,2-2,1,7,8,6,2,0,3,1,33,+7
R. WestbrookR. WestbrookPG,33,6-13,1-4,4-7,4,3,7,6,0,0,5,2,17,+5
M. MonkM. MonkSG,29,5-12,2-6,1-2,0,5,5,1,2,0,1,4,13,+8
T. ArizaT. ArizaSF,19,1-3,1-3,0-2,0,3,3,0,0,0,0,0,3,-8
K. BazemoreK. BazemoreSF,7,1-2,1-2,0-0,1,0,1,0,1,0,1,0,3,+2
D. HowardD. HowardC,12,1-3,0-0,2-2,2,3,5,0,0,0,0,3,4,+1
W. EllingtonW. EllingtonSG,4,0-3,0-3,0-0,0,2,2,0,1,1,0,1,0,-2
A. ReavesA. ReavesSG,29,3-6,1-4,2-3,0,4,4,2,1,0,0,1,9,+8
T. Horton-TuckerT. Horton-TuckerSG,31,1-6,0-4,1-2,3,2,5,3,0,4,0,4,3,+7
