PHI,MIL,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,41,9-20,0-4,1-1,2,6,8,4,0,0,0,1,19,+5
G. NiangG. NiangSF,40,6-12,5-10,1-2,1,5,6,2,0,0,1,4,18,+10
J. EmbiidJ. EmbiidC,37,14-21,3-4,11-14,2,12,14,5,1,0,6,5,42,+13
T. MaxeyT. MaxeyPG,40,4-13,1-5,10-10,0,2,2,4,0,0,0,1,19,+10
M. ThybulleM. ThybulleSG,15,0-1,0-1,0-0,0,1,1,1,0,1,1,1,0,-14
P. MillsapP. MillsapPF,11,2-4,0-2,0-0,1,3,4,1,0,0,1,4,4,-10
D. GreenD. GreenSF,14,1-4,0-3,0-0,0,0,0,1,0,0,0,3,2,-5
S. MiltonS. MiltonSG,13,3-5,0-1,0-0,2,2,4,2,0,1,1,2,6,-12
F. KorkmazF. KorkmazSG,30,5-8,3-4,0-0,1,6,7,1,1,0,2,2,13,+18
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,39,13-23,2-4,4-5,4,7,11,9,3,1,3,4,32,-9
K. MiddletonK. MiddletonSF,37,6-20,2-12,5-6,1,4,5,2,0,0,2,3,19,+7
J. NworaJ. NworaSF,35,6-12,4-7,2-2,1,2,3,0,0,0,1,3,18,-1
B. PortisB. PortisC,28,6-13,1-7,4-5,4,3,7,3,1,0,0,4,17,+4
J. HolidayJ. HolidayPG,38,8-15,3-6,5-8,2,3,5,3,1,0,0,3,24,-12
S. MamukelashviliS. MamukelashviliPF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-4
T. AntetokounmpoT. AntetokounmpoSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
S. IbakaS. IbakaC,24,2-8,1-5,0-0,0,6,6,2,0,0,1,2,5,-3
W. MatthewsW. MatthewsSG,20,1-3,1-3,0-0,0,1,1,1,0,0,0,3,3,-5
L. WiggintonL. WiggintonG,16,0-1,0-0,2-2,0,5,5,0,0,0,0,0,2,+6
