HOU,LAC,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,28,7-10,1-4,4-5,0,3,3,4,0,1,3,4,19,-20
C. WoodC. WoodC,25,5-10,1-2,2-4,1,6,7,1,3,0,1,1,13,-17
D. SchroderD. SchroderPG,30,3-11,1-4,2-2,1,2,3,9,1,0,4,2,9,-22
G. MathewsG. MathewsSG,31,2-6,2-6,2-3,2,2,4,3,0,0,2,2,8,-12
J. GreenJ. GreenSG,31,8-15,5-10,0-0,0,0,0,2,1,0,1,1,21,-20
B. FernandoB. FernandoF,9,4-6,0-1,2-3,2,3,5,0,0,0,1,2,10,+2
K. Martin Jr.K. Martin Jr.F,26,5-12,2-4,0-0,0,2,2,1,0,0,0,1,12,-18
D. NwabaD. NwabaSF,20,1-4,0-1,0-0,4,0,4,1,0,0,1,2,2,-19
A. SengunA. SengunC,14,2-5,0-1,0-0,1,2,3,4,0,1,3,1,4,-16
J. ChristopherJ. ChristopherSG,26,5-12,1-4,2-2,1,3,4,4,3,0,2,4,13,-13
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
N. BatumN. BatumPF,21,1-3,1-1,0-0,0,4,4,3,1,0,1,0,3,+17
M. Morris Sr.M. Morris Sr.SF,25,7-13,4-8,9-9,0,5,5,3,1,0,3,3,27,+18
I. ZubacI. ZubacC,23,6-10,0-0,1-2,5,5,10,1,1,0,1,3,13,+10
R. JacksonR. JacksonPG,26,5-13,2-6,0-0,0,3,3,14,1,0,2,0,12,+22
T. MannT. MannSG,28,8-13,1-1,3-3,3,5,8,1,1,0,2,1,20,+28
R. CovingtonR. CovingtonPF,14,1-4,0-2,0-0,2,3,5,1,0,0,0,2,2,+11
S. OjeleyeS. OjeleyePF,9,2-5,1-2,2-3,1,1,2,0,0,0,0,0,7,-2
I. HartensteinI. HartensteinC,25,6-8,0-1,1-2,1,7,8,2,3,5,3,4,13,+21
R. HoodR. HoodSG,9,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-2
L. KennardL. KennardSG,23,8-11,8-9,1-1,0,0,0,3,2,0,2,2,25,+17
A. CoffeyA. CoffeySG,26,5-7,1-3,2-2,0,2,2,4,0,0,2,0,13,+15
B. Boston Jr.B. Boston Jr.SG,11,2-5,0-2,3-4,0,2,2,2,2,0,0,1,7,0
