BKN,POR,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,42,9-19,2-7,8-8,1,9,10,5,2,1,1,2,28,-15
N. ClaxtonN. ClaxtonPF,13,1-3,0-0,0-0,1,0,1,1,0,0,1,4,2,-9
D. Duke Jr.D. Duke Jr.SF,13,2-5,1-2,0-0,2,0,2,2,0,0,0,3,5,-11
K. IrvingK. IrvingPG,40,9-21,3-8,1-1,1,7,8,4,1,1,4,2,22,0
D. BembryD. BembrySG,18,2-5,0-0,0-0,1,1,2,1,2,0,1,1,4,-5
B. GriffinB. GriffinPF,11,0-4,0-1,0-0,0,2,2,3,0,0,1,1,0,-11
J. JohnsonJ. JohnsonPF,7,2-4,0-1,0-1,1,1,2,0,0,0,0,0,4,+2
K. EdwardsK. EdwardsSF,15,2-7,1-3,0-0,1,4,5,0,1,0,1,2,5,+3
D. SharpeD. SharpeC,24,6-6,0-0,2-3,4,3,7,2,0,3,3,4,14,+14
P. MillsP. MillsPG,31,1-5,1-3,0-0,0,0,0,5,0,1,0,1,3,+2
C. ThomasC. ThomasSG,26,8-12,4-7,1-2,0,3,3,0,3,0,3,2,21,0
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,34,6-9,5-7,4-4,0,4,4,1,3,3,1,5,21,+11
N. LittleN. LittleSF,39,3-9,2-6,5-6,1,4,5,2,1,3,0,1,13,+12
J. NurkicJ. NurkicC,33,4-13,0-2,6-8,2,6,8,3,1,0,2,3,14,+5
B. McLemoreB. McLemoreSG,31,6-11,5-8,3-4,0,5,5,0,1,2,2,1,20,+17
A. SimonsA. SimonsSG,38,10-24,2-11,1-2,0,6,6,11,0,0,3,2,23,+13
T. WatfordT. WatfordPF,14,2-3,0-0,0-2,2,4,6,0,0,1,2,0,4,-5
T. SnellT. SnellSF,6,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-7
C. ZellerC. ZellerC,15,2-3,0-0,0-0,3,4,7,1,0,0,0,1,4,+3
D. Smith Jr.D. Smith Jr.PG,13,3-6,0-0,0-0,1,0,1,3,1,0,1,0,6,-8
C. EllebyC. EllebySG,17,4-8,1-4,0-0,2,3,5,2,1,0,2,3,9,-11
