DEN,BKN,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
Je. GreenJe. GreenPF,24,2-4,0-1,2-3,1,6,7,1,0,0,0,2,6,+4
A. GordonA. GordonPF,30,4-11,0-5,2-2,1,4,5,1,0,1,2,1,10,-2
W. BartonW. BartonSF,34,8-20,3-8,2-2,3,7,10,4,2,1,3,3,21,-2
N. JokicN. JokicC,35,8-13,2-2,8-8,2,8,10,8,1,0,2,5,26,+6
M. MorrisM. MorrisPG,28,4-9,0-2,2-2,0,4,4,4,1,0,0,1,10,+3
Z. NnajiZ. NnajiPF,15,2-4,0-1,2-2,2,2,4,1,0,0,0,1,6,+1
D. CousinsD. CousinsC,13,4-10,2-3,3-4,3,3,6,0,1,0,3,2,13,+2
F. CampazzoF. CampazzoPG,20,0-1,0-0,2-2,0,1,1,6,1,0,0,2,2,+3
A. RiversA. RiversSG,26,8-11,7-10,2-2,0,1,1,1,2,0,1,2,25,+15
B. ForbesB. ForbesSG,15,2-6,1-4,0-0,0,0,0,1,0,0,1,2,5,+2
D. ReedD. ReedSG,0,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,-2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. JohnsonJ. JohnsonPF,38,5-12,0-2,2-3,1,7,8,7,3,0,2,3,12,-2
K. EdwardsK. EdwardsSF,37,3-7,0-2,3-3,2,4,6,1,0,2,2,4,9,+2
L. AldridgeL. AldridgeC,33,7-16,0-1,4-6,0,8,8,0,0,1,1,3,18,+4
P. MillsP. MillsPG,32,6-12,4-8,5-6,0,3,3,6,1,0,1,1,21,-10
D. BembryD. BembrySG,26,7-11,0-1,0-0,0,3,3,3,1,0,1,5,14,-1
B. GriffinB. GriffinPF,15,3-7,0-2,0-0,2,3,5,4,0,0,0,0,6,-10
B. BrownB. BrownSF,12,0-1,0-0,0-0,1,2,3,1,0,0,1,3,0,-11
J. CarterJ. CarterPG,21,4-8,4-7,1-2,0,1,1,3,1,0,0,4,13,+8
C. ThomasC. ThomasSG,26,8-14,4-6,5-6,0,1,1,1,0,0,4,2,25,-10
