WSH,BKN,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,30,2-7,0-3,1-1,0,7,7,5,1,0,8,3,5,+10
C. KispertC. KispertSF,33,6-9,4-6,0-0,0,1,1,1,2,0,2,2,16,+13
T. BryantT. BryantC,14,5-6,0-1,2-2,1,4,5,2,0,2,0,0,12,+8
R. NetoR. NetoPG,21,5-7,1-1,1-2,1,1,2,3,2,0,0,1,12,+8
K. Caldwell-PopeK. Caldwell-PopeSG,25,3-7,1-3,0-0,1,4,5,2,1,0,1,0,7,+13
A. GillA. GillPF,19,4-7,2-2,2-3,1,1,2,3,1,2,2,5,12,+7
R. HachimuraR. HachimuraPF,27,8-15,2-2,2-2,1,0,1,1,1,0,1,1,20,+5
D. AvdijaD. AvdijaSF,31,4-10,1-3,4-4,0,8,8,2,2,1,0,3,13,+7
D. GaffordD. GaffordC,13,2-5,0-0,1-2,3,2,5,1,0,1,1,3,5,-7
I. SmithI. SmithPG,27,7-10,1-3,0-0,0,2,2,6,0,1,0,3,15,+6
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. BrownB. BrownSF,35,3-10,0-1,4-5,4,1,5,4,0,0,0,4,10,-14
K. EdwardsK. EdwardsSF,18,0-5,0-3,0-0,2,2,4,2,0,0,0,1,0,+1
A. DrummondA. DrummondC,19,3-8,0-0,0-2,3,6,9,1,1,0,3,4,6,-8
P. MillsP. MillsPG,30,8-14,5-7,1-2,1,1,2,3,4,1,2,2,22,-11
S. CurryS. CurrySG,31,4-11,3-6,1-1,1,3,4,4,0,0,3,0,12,-5
B. GriffinB. GriffinPF,8,0-1,0-0,1-2,1,3,4,1,0,1,1,0,1,-4
D. Duke Jr.D. Duke Jr.SF,21,1-4,0-3,0-0,1,2,3,0,0,1,0,2,2,-13
L. AldridgeL. AldridgeC,28,5-8,0-0,6-6,1,3,4,1,0,2,1,4,16,-4
D. SharpeD. SharpeC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
J. CarterJ. CarterPG,19,5-11,3-9,1-2,1,2,3,1,0,0,3,1,14,-1
C. ThomasC. ThomasSG,28,7-17,3-9,3-4,0,4,4,2,1,0,2,2,20,-9
