TOR,CHI,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,43,3-12,0-0,6-9,1,6,7,7,3,0,3,3,12,-11
P. AchiuwaP. AchiuwaPF,23,1-4,0-2,1-2,2,4,6,0,1,0,1,1,3,-2
O. AnunobyO. AnunobySF,34,10-15,3-7,0-1,2,3,5,4,1,2,0,3,23,-14
S. BarnesS. BarnesSF,38,6-11,0-3,4-6,0,5,5,7,0,1,3,2,16,-10
G. Trent Jr.G. Trent Jr.SG,37,11-22,6-10,4-5,1,0,1,2,1,0,2,0,32,-11
C. BoucherC. BoucherPF,29,3-8,1-5,2-3,0,3,3,0,0,2,1,4,9,+1
Y. WatanabeY. WatanabeSF,5,0-0,0-0,0-0,0,1,1,0,0,0,0,1,0,+6
M. FlynnM. FlynnPG,8,1-1,1-1,0-0,0,1,1,1,0,0,0,1,3,-5
D. BantonD. BantonPG,24,3-6,1-3,0-2,2,3,5,3,2,0,2,2,7,+16
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,37,11-19,1-4,6-7,3,4,7,7,0,0,4,4,29,+2
J. GreenJ. GreenSF,24,6-9,0-2,0-1,3,3,6,1,0,0,0,4,12,+6
N. VucevicN. VucevicC,35,8-11,1-2,0-0,1,14,15,8,0,0,4,5,17,+20
Z. LaVineZ. LaVineSG,38,9-16,1-5,4-4,0,8,8,8,1,0,3,4,23,+15
A. DosunmuA. DosunmuSG,38,3-10,0-4,1-2,0,2,2,4,1,0,0,2,7,+20
T. CookT. CookF,13,1-2,0-0,1-2,2,0,2,0,0,0,0,1,3,-15
T. Brown Jr.T. Brown Jr.SF,22,3-4,2-3,0-0,1,2,3,2,0,0,1,0,8,-7
C. WhiteC. WhitePG,24,4-10,1-4,0-0,0,1,1,1,0,1,1,2,9,-9
M. ThomasM. ThomasSG,8,1-3,1-2,0-0,0,1,1,1,0,0,0,0,3,-2
