CHI,TOR,2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. DeRozanD. DeRozanSF,45,7-17,0-1,14-14,0,6,6,7,2,0,4,1,28,+2
J. GreenJ. GreenSF,33,3-7,0-1,7-8,1,5,6,2,3,1,1,1,13,+4
N. VucevicN. VucevicC,39,13-21,4-6,0-0,4,14,18,4,1,1,3,3,30,-7
Z. LaVineZ. LaVineSG,42,6-10,2-4,1-2,0,5,5,7,2,1,2,5,15,+4
A. DosunmuA. DosunmuSG,42,5-12,1-5,0-0,0,4,4,8,0,1,3,4,11,-2
T. CookT. CookF,3,1-2,0-0,0-0,1,0,1,0,0,0,0,0,2,-1
T. Brown Jr.T. Brown Jr.SF,16,2-6,1-4,0-0,2,2,4,0,0,0,0,1,5,-13
T. BradleyT. BradleyC,11,0-0,0-0,0-0,2,1,3,0,0,2,2,1,0,+1
C. WhiteC. WhitePG,23,6-15,4-8,0-0,0,1,1,2,0,0,2,3,16,-19
M. ThomasM. ThomasSG,11,0-0,0-0,0-0,0,3,3,0,0,1,0,0,0,-4
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,45,9-22,1-4,6-7,5,8,13,7,2,1,3,4,25,+4
O. AnunobyO. AnunobySF,42,8-15,5-8,0-0,0,1,1,6,1,1,3,2,21,+9
S. BarnesS. BarnesSF,37,9-16,2-4,1-2,3,5,8,2,0,1,1,2,21,-8
F. VanVleetF. VanVleetSG,42,6-19,3-9,6-6,0,4,4,9,2,0,4,1,21,+6
G. Trent Jr.G. Trent Jr.SG,40,5-13,3-8,3-3,0,3,3,3,2,0,1,4,16,+6
C. BoucherC. BoucherPF,25,8-14,0-1,0-0,5,5,10,1,2,1,0,1,16,+15
P. AchiuwaP. AchiuwaPF,18,2-9,0-0,1-1,5,6,11,1,0,1,0,1,5,+3
K. BirchK. BirchC,5,0-0,0-0,0-0,1,1,2,0,0,0,0,1,0,-1
D. BantonD. BantonPG,11,1-5,0-2,0-0,3,3,6,1,1,0,0,1,2,+1
