A. Gordon,PTS,15.5,0.
D. Fox,PTS,24.5,0.
D. Sabonis,PTS,19.5,0.
H. Barnes,PTS,16.5,0.
J. Green,PTS,9.5,0.
J. Holiday,PTS,10.5,0.
M. Morris,PTS,13.5,0.
N. Jokic,PTS,27.5,0.
W. Barton,PTS,14.5,0.
A. Gordon,REB,5.5,0.
D. Fox,REB,4.5,0.
D. Sabonis,REB,11.5,0.
H. Barnes,REB,5.5,0.
J. Green,REB,2.5,0.
J. Holiday,REB,2.5,0.
M. Morris,REB,3.5,0.
N. Jokic,REB,14.5,0.
W. Barton,REB,4.5,0.
A. Gordon,AST,2.5,0.
D. Fox,AST,5.5,0.
D. Sabonis,AST,5.5,0.
H. Barnes,AST,2.5,0.
J. Green,AST,0.5,0.
J. Holiday,AST,1.5,0.
M. Morris,AST,4.5,0.
N. Jokic,AST,8.5,0.
W. Barton,AST,3.5,0.
A. Gordon,3PM,1.5,0.
D. Fox,3PM,1.5,0.
D. Sabonis,3PM,0.5,0.
H. Barnes,3PM,1.5,0.
J. Green,3PM,0.5,0.
J. Holiday,3PM,2.5,0.
M. Morris,3PM,1.5,0.
N. Jokic,3PM,1.5,0.
W. Barton,3PM,1.5,0.
